run_dir,model_name,branch,generation,metric,summary_value,recomputed_value,abs_diff,status,tolerance
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,1.0,accuracy_mean,0.42,0.42,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,1.0,pedagogical_score_mean,4.98,4.98,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,1.0,silent_error_rate,0.22,0.22,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,2.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,2.0,accuracy_mean,0.49,0.49,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,2.0,pedagogical_score_mean,5.1,5.1,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,pure_recycling,2.0,silent_error_rate,0.12,0.12,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,0.0,sample_count,50.0,50.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,0.0,accuracy_mean,0.42,0.42,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,anchor_20_append,0.0,pedagogical_score_mean,5.34,5.34,0.0,ok,1e-06
